target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.77062791,2552.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.83517643,1912.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.86801198,432.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.77062791,4896.0,4
M59-UCD3,GALAXY-DWARF-COMPACT-UNDESIGNATED,190.5455220833,11.64531388889,3,57517.51933851,1470.0,3
M59-UCD3,GALAXY-DWARF-COMPACT-UNDESIGNATED,190.5455220833,11.64531388889,3,57517.50602851,2227.0,3
VCC1903,GALAXY-ELLIPTICAL,190.51,11.64666666667,3,52839.31775876,750.0,4
VCC1903,GALAXY-ELLIPTICAL,190.51,11.64666666667,3,52839.29858061,1210.0,4
VCC1903,GALAXY-ELLIPTICAL,190.51,11.64666666667,3,52839.29858061,1960.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.77062791,2552.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.83517643,1912.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.86801198,432.0,4
VCC1903,GALAXY-ELLIPTICAL,190.51,11.64666666667,3,52670.76086835,2270.0,4
VCC1903,GALAXY-ELLIPTICAL,190.51,11.64666666667,3,52670.74169021,3640.0,4
M59-UCD3,GALAXY-DWARF-COMPACT-UNDESIGNATED,190.5455220833,11.64531388889,3,57517.51933851,1470.0,3
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.77062791,2552.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.83517643,1912.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.86801198,432.0,4
VCC1903,GALAXY-ELLIPTICAL,190.51,11.64666666667,3,52670.76086835,1500.0,4
VCC1903,GALAXY-ELLIPTICAL,190.51,11.64666666667,3,52670.74169021,2420.0,4
M59-UCD3,GALAXY-DWARF-COMPACT-UNDESIGNATED,190.5455220833,11.64531388889,3,57517.51933851,1470.0,3
M59-UCD3,GALAXY-DWARF-COMPACT-UNDESIGNATED,190.5455220833,11.64531388889,3,57517.5193385069,1470.0,3
VCC1903,GALAXY-ELLIPTICAL,190.5072497676,11.64734529892,3,52839.3012194792,1120.0,4
VCC1903,GALAXY-ELLIPTICAL,190.5072497676,11.64734529892,3,52839.3177587616,750.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.7706278935,2552.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.8351764236,1912.0,4
NGC4621,GALAXY-ELLIPTICAL,190.5093333333,11.64681388889,3,53524.8680120023,432.0,4
M-59,GALAXY-ELLIPTICAL,190.5094246897,11.64683165891,3,59752.3014064005,300.0,4
M-59,GALAXY-ELLIPTICAL,190.5094246897,11.64683165885,3,59752.307624537,4652.416,4
VCC1903,GALAXY-ELLIPTICAL,190.5096255868,11.64688397004,3,54169.55039352,1920.005997,4
