target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
M-49,GALAXY-ELLIPTICAL,187.4449916667,8.000411111111,3,56351.6179643519,2399.0,5
M-49,GALAXY-ELLIPTICAL,187.4449916667,8.000411111111,3,56351.6866910069,5237.0,5
M-49,GALAXY-ELLIPTICAL,187.4449916667,8.000411111111,3,56351.8196658565,5237.0,5
M-49,GALAXY-ELLIPTICAL,187.4449916667,8.000411111111,3,56352.6175128819,5237.0,5
NGC4472,GALAXY-ELLIPTICAL-BCM,187.4446012454,7.999492780899,3,50856.0055047454,383.983994,7
VCC1226,GALAXY-ELLIPTICAL,187.444753606,8.00041726469,3,54504.3682655903,1920.041979,5
NGC4472-NUC,GALAXY-ELLIPTICAL-,187.453046551,7.998847909511,3,49752.93978125,900.0,6
NGC4472-NUC,GALAXY-ELLIPTICAL-,187.453046551,7.998847909511,3,49752.95228125,900.0,6
NGC4472-NUC,GALAXY-ELLIPTICAL-,187.453046551,7.998847909511,3,49753.0064479167,900.0,6
NGC4472-NUC,GALAXY-ELLIPTICAL-,187.453046551,7.998847909511,3,49753.0189479167,900.0,6
UGC07629,GALAXY-RADIO-GALAXY-ELLIPTICAL,187.4385735806,8.006025945896,3,50556.539753588,230.0,10
UGC07629,GALAXY-RADIO-GALAXY-ELLIPTICAL,187.4385735806,8.006025945896,3,50556.5446146991,230.0,10
UGC07629,GALAXY-RADIO-GALAXY-ELLIPTICAL,187.4385735806,8.006025945896,3,50556.5501702546,230.0,10
UGC07629,GALAXY-RADIO-GALAXY-ELLIPTICAL,187.4385735806,8.006025945896,3,50556.5550313657,230.0,10
UGC07629,GALAXY-RADIO-GALAXY-ELLIPTICAL,187.4385735806,8.006025945896,3,50556.5605869213,800.0,10
UGC07629,GALAXY-RADIO-GALAXY-ELLIPTICAL,187.4385735806,8.006025945896,3,50556.6043369213,1300.0,10
UGC07629,GALAXY-RADIO-GALAXY-ELLIPTICAL,187.4385735806,8.006025945896,3,50556.621003588,1300.0,10
NGC4472,GALAXY-ELLIPTICAL,187.4435254834,8.000812181976,3,52008.3925333681,1200.0,5
NGC4472,GALAXY-ELLIPTICAL,187.4435254834,8.000812181976,3,52008.4085055903,1200.0,5
NGC4472,GALAXY-ELLIPTICAL,187.4433571787,8.000811911704,3,52010.4668389699,1200.0,5
NGC4472,GALAXY-ELLIPTICAL,187.4433571787,8.000811911704,3,52010.4828111921,1200.0,5
NGC4472,GALAXY-ELLIPTICAL,187.4433569057,8.000978578152,3,52012.4737834144,1200.0,5
NGC4472,GALAXY-ELLIPTICAL,187.4433569057,8.000978578152,3,52012.4897556366,1200.0,5
NGC4472,GALAXY-ELLIPTICAL,187.4435252105,8.000978848424,3,52014.481422338,1200.0,5
