target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
VCC1903,un1,190.5096291667,11.64687222222,3,54169.61824734,2100.0,0
VCC1903,un2,190.5096291667,11.64687222222,3,54169.61824734,2100.0,30
NGC4621-NUC1,un3,190.5095,11.64672777778,3,49753.87727981,1380.0,41
NGC4621-NUC1,un4,190.5095,11.64672777778,3,49753.94186314,1280.0,52
NGC4621-NUC1,un5,190.5095,11.64672777778,3,49753.87727981,2660.0,63
NGC4621,un6,190.5095,11.64713333333,3,51280.83765494,1000.0,74
NGC4621,un7,190.5095,11.64713333333,3,51280.83765494,1000.0,85
NGC4621,un8,190.5094166667,11.64676666667,3,52014.69739457,1200.0,96
NGC4621,un9,190.5094166667,11.64676666667,3,52014.68281124,800.0,107
NGC4621,un10,190.5094166667,11.64676666667,3,52014.68281124,2000.0,1
M-59,un11,190.50942469,11.6468316594418,2,59752.3076157407,4652.416,12
NGC4621,un12,190.509291667333,11.6470277787751,2,51263.5856481481,2520.0,22
NGC4621,un13,190.509416667333,11.6467666661084,2,52000.101400463,2141.0,23
POST-SAA-DARK,un14,190.509495513,11.6469486181,3,54169.53858796,486.71817,24
DARK,un15,190.5042844482,11.65353866807,2,52014.6724378819,1100.0,25
DARK,un16,190.5042844482,11.65353866807,2,52014.6856786227,60.0,26
DARK,un17,190.5042844482,11.65353866807,2,52014.6868823264,60.0,27
BIAS,un18,190.5042844482,11.65353866807,3,52014.6958408218,0.0,28
BIAS,un19,190.5042844482,11.65353866807,3,52014.7071137731,0.0,29
BIAS,un20,190.5042844482,11.65353866807,3,52014.7086415856,0.0,31
BIAS,un21,190.5042844482,11.65353866807,3,52014.7094519329,0.0,32
BIAS,un22,190.5042844482,11.65353866807,3,52014.7101693634,0.0,33
POST-SAA-DARK,un23,190.5022349043,11.635056554,3,54169.53861111,486.71817,34
POST-SAA-DARK,un24,190.5135842386,11.65551054064,3,54169.53859954,486.71817,35
NONE,un25,190.50499517,11.65432080208,2,51280.8398393171,1.0,36
NONE,un26,190.50499517,11.65432080208,2,51280.8411356134,10.0,37
NGC4579,un1,189.43125,11.81805555556,3,50658.24946429,3200.0,0
NGC4579,un2,189.43125,11.81805555556,3,50658.32585173,726.0,30
NGC4579,un3,189.43125,11.81805555556,3,50658.39529763,1400.0,41
NGC4579,un4,189.43125,11.81805555556,3,50658.34321285,726.0,52
NGC4579,un5,189.43125,11.81805555556,3,50658.24946429,6052.0,63
DARK,un6,189.2897338617,11.78270118937,1,52715.2622229514,953.0,74
TUNGSTEN,un7,189.3728494458,11.68712740395,1,52741.934584456,2.4,85
DARK,un8,189.2897338617,11.78270118937,1,52715.2621881597,1000.0,96
NGC6720,un1,283.3961666667,33.02916666667,3,54152.85852483,6500.0,0
NGC6720,un2,283.3961666667,33.02916666667,3,54152.85019005,180.0,30
NGC6720,un3,283.3961666667,33.02916666667,3,54152.85019005,6680.0,41
NGC6720,un4,283.3980833333,33.03,3,54579.85159009,1800.0,52
NGC6720,un5,283.3980833333,33.03,3,54579.91339564,600.0,63
NGC6720,un6,283.3980833333,33.03,3,54579.92797898,780.0,74
NGC6720,un7,283.3980833333,33.03,3,54579.85159009,3180.0,85
NGC6720,un8,283.3980833333,33.03,3,54592.8321459,780.0,96
NGC6720,un9,283.3980833333,33.03,3,54592.84881257,780.0,107
NGC6720,un10,283.3980833333,33.03,3,54592.8321459,1560.0,1
NGC6720,un11,283.3958333333,33.02861111111,3,49977.49325147,180.0,12
NGC6720,un12,283.3958333333,33.02861111111,3,49977.48144736,660.0,22
NGC6720,un13,283.3958333333,33.02861111111,3,49977.48144736,840.0,23
NGC6720,un14,283.3958333333,33.02861111111,3,51102.21335864,1900.0,24
NGC6720,un15,283.3958333333,33.02861111111,3,51102.2369683,720.0,25
NGC6720,un16,283.3958333333,33.02861111111,3,51102.22794052,960.0,26
NGC6720,un17,283.3958333333,33.02861111111,3,51102.21335864,3580.0,27
NGC6720E,un18,283.3958333333,33.02861111111,3,51813.46473547,1200.0,28
NGC6720E,un19,283.3958333333,33.02861111111,3,51813.53417847,300.0,29
NGC6720E,un20,283.3958333333,33.02861111111,3,51813.45431736,480.0,31
NGC6720E,un21,283.3958333333,33.02861111111,3,51813.54320625,320.0,32
NGC6720E,un22,283.3958333333,33.02861111111,3,51813.51681881,690.0,33
NGC6720E,un23,283.3958333333,33.02861111111,3,51813.45431736,2990.0,34
NGC6720,un24,283.3965,33.02866666667,3,52899.93143092,600.0,35
NGC6720,un25,283.3965,33.02866666667,3,52899.94323503,60.0,36
NGC6720,un26,283.3965,33.02866666667,3,52899.93143092,660.0,37
BIAS,un27,283.3935915128,33.04819702937,3,55829.0867421643,0.0,38
DARK,un28,283.3935915128,33.04819702937,2,55829.0897475694,900.0,39
TUNGSTEN,un29,283.3935915128,33.04819702937,2,55829.1068190625,1.0,40
