target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
HI-LATITUDE-FIELD,STAR,198.2634853582,18.11317439822,2,51686.3663627315,618.0,66
HI-LATITUDE-FIELD,STAR,198.2634853582,18.11317439822,2,51686.3750316319,1500.0,66
HI-LATITUDE-FIELD,STAR,198.2634853582,18.11317439822,2,51686.3139204861,200.0,66
HI-LATITUDE-FIELD,STAR,198.2634853582,18.11317439822,2,51686.3208071759,200.0,66
HI-LATITUDE-FIELD,STAR,198.2634853582,18.11317439822,2,51686.32363125,200.0,66
HI-LATITUDE-FIELD,STAR,198.2634177349,18.11310014096,2,51683.2169760764,150.0,66
HI-LATITUDE-FIELD,STAR,198.2634177349,18.11310014096,2,51683.2224620023,1269.0,66
HI-LATITUDE-FIELD,STAR,198.2634177349,18.11310014096,2,51683.2832490393,150.0,66
HI-LATITUDE-FIELD,STAR,198.2634177349,18.11310014096,2,51683.2887353356,603.0,66
HI-LATITUDE-FIELD,STAR,198.2634177349,18.11310014096,2,51686.2330756944,150.0,66
HI-LATITUDE-FIELD,STAR,198.2634177349,18.11310014096,2,51686.2385616088,1295.0,66
HI-LATITUDE-FIELD,STAR,198.2634177349,18.11310014096,2,51686.2993371528,200.0,66
HI-LATITUDE-FIELD,STAR,198.2634177349,18.11310014096,2,51686.3022305208,200.0,66
HI-LATITUDE-FIELD,STAR,198.2634177349,18.11310014096,2,51686.3093486458,200.0,66
HI-LATITUDE-FIELD,STAR,198.2633839233,18.11306301232,2,51683.4176471875,150.0,66
HI-LATITUDE-FIELD,STAR,198.2633839233,18.11306301232,2,51683.4208997685,951.0,66
HI-LATITUDE-FIELD,STAR,198.2633839233,18.11306301232,2,51683.4364434838,200.0,66
HI-LATITUDE-FIELD,STAR,198.2633839233,18.11306301232,2,51683.4400316319,200.0,66
HI-LATITUDE-FIELD,STAR,198.2633839233,18.11306301232,2,51686.4337238426,150.0,66
HI-LATITUDE-FIELD,STAR,198.2633839233,18.11306301232,2,51686.4369760764,1077.0,66
HI-LATITUDE-FIELD,STAR,198.2633839233,18.11306301232,2,51686.4539782755,200.0,66
HI-LATITUDE-FIELD,STAR,198.2633839233,18.11306301232,2,51686.4568023495,200.0,66
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56740.75898329,370.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56634.12433235,1125.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56634.12433235,375.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56740.76558033,4349.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56740.76558033,1451.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56740.76558033,1821.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56634.16930145,4648.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56634.16930145,1550.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56634.16930145,1925.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56741.62217774,370.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56634.8985607,375.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56741.62882107,1447.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56741.62882107,1817.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56634.90526043,1548.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56634.90526043,1923.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.3357192066,18.19169968505,3,56741.5623858796,1451.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56741.56238588,1451.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56741.56238588,1821.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56636.03448663,1550.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56636.03448663,1925.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56741.55578885,370.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2302083333,18.16816666667,3,56636.02783145,375.0,89
ANY,UNIDENTIFIED-PARALLEL-FIELD,198.2179205047,18.07016753951,3,57241.99038487,2199.0,95
ANY,UNIDENTIFIED-PARALLEL-FIELD,198.2179205047,18.07016753951,3,57241.99038487,2199.0,95
ANY,UNIDENTIFIED-PARALLEL-FIELD,198.2179205047,18.07016753951,3,57241.99038487,2199.0,95
NGC5024-131310+180735,STAR-B0-B2-III-I-POST-AGB-STAR,198.29364,18.12642777778,2,57241.9878007755,20.0,67
HI-LATITUDE-FIELD,STAR,198.2171210138,18.08931901598,2,51672.6250545949,150.0,66
HI-LATITUDE-FIELD,STAR,198.2171210138,18.08931901598,2,51672.6305408912,1098.0,66
NGC5024-131310+180735,STAR-B0-B2-III-I-POST-AGB-STAR,198.29364,18.12642777778,3,57241.9918270833,11463.168,67
NGC5024-131310+180735,STAR-B0-B2-III-I-POST-AGB-STAR,198.29364,18.12642777778,3,57242.0636559838,32435.232,67
ANY,UNIDENTIFIED-PARALLEL-FIELD,198.2188843788,18.06789896224,3,57242.191548,802.934753,95
